Trace,Baseline,CPU,NumCPUs,HomogeneousMix,MPKI,IPC,LoadMisses,RFOMisses
astar_313B.trace.gz,lru,0,1,True,43.168846,0.115009,11600865,9983558
mcf_46B.trace.gz,lru,0,1,True,69.356924,0.0993034,34016591,661871
cc.trace.gz,lru,0,1,True,6.018132,0.509478,3007332,1734
soplex_66B.trace.gz,lru,0,1,True,25.674554,0.381451,10406229,2431048
pr.trace.gz,lru,0,1,True,12.761645974476709,0.254517,6302978,77845
sphinx3_2520B.trace.gz,lru,0,1,True,11.646807953412768,0.700962,5386571,436833
omnetpp_340B.trace.gz,lru,0,1,True,17.227995896632024,0.283733,7374627,1239371
bfs.trace.gz,lru,0,1,True,10.605378,0.40099,5232029,70660
pr.trace.gz,lru,0,2,False,13.224695973550608,0.23168,6537103,75245
mcf_46B.trace.gz,lru,1,2,False,66.829548,0.100148,32797125,617649
astar_313B.trace.gz,lru,0,2,True,43.69226,0.110857,11598734,10247396
astar_313B.trace.gz,lru,1,2,True,43.692337737845975,0.110857,11601886,10244283
cc.trace.gz,lru,0,2,False,6.0802279756790885,0.471293,3038066,2048
bfs.trace.gz,lru,1,2,False,8.949265946304404,0.403697,4438768,35865
mcf_46B.trace.gz,lru,0,2,True,69.40373158357761,0.0947581,34037823,664043
mcf_46B.trace.gz,lru,1,2,True,69.3800975837194,0.0947584,34026661,663388
xalancbmk_99B.trace.gz,lru,0,1,True,29.152643941694713,0.257291,14531054,45268
sphinx3_2520B.trace.gz,lru,0,2,False,4.9008499705949,0.799739,2274362,176063
astar_313B.trace.gz,lru,1,2,False,43.586851738478884,0.115107,11453022,10340404
xalancbmk_99B.trace.gz,lru,0,2,False,27.925499888298003,0.244556,13922015,40735
bfs.trace.gz,lru,1,2,False,11.641002,0.343229,5773862,46639
xalancbmk_99B.trace.gz,lru,0,2,False,28.539177942921643,0.224864,14227776,41813
omnetpp_340B.trace.gz,lru,1,2,False,17.623645929505418,0.272563,7549388,1262435
cc.trace.gz,lru,0,2,False,6.657902,0.409894,3326865,2086
soplex_66B.trace.gz,lru,1,2,False,21.306315872162102,0.39028,8471829,2181329
mcf_46B.trace.gz,lru,0,2,False,66.32347760205913,0.100461,32555911,605828
cc.trace.gz,lru,1,2,False,6.26181996242908,0.421757,3129610,1300
mcf_46B.trace.gz,lru,0,2,False,68.599492,0.0969355,33640005,659741
xalancbmk_99B.trace.gz,lru,1,2,False,29.29858788280565,0.220873,14605367,43927
astar_313B.trace.gz,lru,0,2,False,43.64348973813906,0.115068,11462348,10359397
sphinx3_2520B.trace.gz,lru,1,2,False,4.80745,0.810545,2222873,180852
mcf_46B.trace.gz,lru,0,2,False,67.39524973041901,0.0940986,33065986,631639
astar_313B.trace.gz,lru,1,2,False,43.710261912579476,0.113605,11498523,10356608
omnetpp_340B.trace.gz,lru,0,2,False,16.23520993505916,0.287962,6944777,1172828
cc.trace.gz,lru,1,2,False,6.14501,0.427247,3071323,1182
omnetpp_340B.trace.gz,lru,0,2,False,17.796295928814818,0.264813,7626529,1271619
mcf_46B.trace.gz,lru,1,2,False,67.81809559309143,0.0957216,33268119,640929
astar_313B.trace.gz,lru,0,2,False,44.03484773579091,0.111604,11596106,10421318
soplex_66B.trace.gz,lru,1,2,False,22.45843986524936,0.341403,9008576,2220644
pr.trace.gz,lru,0,2,False,14.119865971760268,0.222918,6958493,101440
soplex_66B.trace.gz,lru,1,2,False,21.642872,0.382985,8620635,2200801
mcf_46B.trace.gz,lru,0,2,False,70.41906357748562,0.0918263,34512263,697269
soplex_66B.trace.gz,lru,1,2,False,23.93178395213643,0.338111,9659253,2306639
bfs.trace.gz,lru,0,2,False,11.58362,0.329668,5742569,49241
mcf_46B.trace.gz,lru,1,2,False,67.10862559734824,0.0991734,32929249,625064
mcf_46B.trace.gz,lru,0,2,False,67.11355559731867,0.0988116,32931540,625238
bfs.trace.gz,lru,1,2,False,11.606916,0.33034,5754141,49317
mcf_46B.trace.gz,lru,0,2,False,69.04629358572224,0.0970345,33854063,669084
sphinx3_2520B.trace.gz,lru,1,2,False,9.301087962795648,0.657231,4296405,354139
sphinx3_2520B.trace.gz,lru,0,2,False,11.473216,0.565076,5290909,445699
soplex_66B.trace.gz,lru,1,2,False,23.502013952995974,0.362225,9465959,2285048
omnetpp_340B.trace.gz,lru,0,2,False,17.615511929537952,0.272639,7545620,1262136
xalancbmk_99B.trace.gz,lru,1,2,False,28.5801758856793,0.224336,14247894,42194
omnetpp_340B.trace.gz,lru,0,2,False,16.76306996647386,0.269592,7178601,1202934
astar_313B.trace.gz,lru,1,2,False,43.11800791376398,0.114963,11364115,10194889
soplex_66B.trace.gz,lru,0,2,False,23.362645953274708,0.365238,9399618,2281705
sphinx3_2520B.trace.gz,lru,1,2,False,11.446436,0.56636,5272796,450422
bfs.trace.gz,lru,0,2,False,9.236124,0.394748,4583070,34992
pr.trace.gz,lru,1,2,False,12.766171974467657,0.245512,6324128,58958
soplex_66B.trace.gz,lru,0,2,False,21.820915956358167,0.374311,8701093,2209365
bfs.trace.gz,lru,1,2,False,12.829437923023372,0.307314,6340928,73791
cc.trace.gz,lru,0,2,False,6.033102,0.475035,3015127,1424
pr.trace.gz,lru,1,2,False,12.588691974822616,0.247835,6243119,51227
xalancbmk_99B.trace.gz,lru,0,2,False,29.38981394122037,0.220122,14650709,44198
mcf_46B.trace.gz,lru,1,2,False,68.60395358837627,0.0970692,33643167,658810
sphinx3_2520B.trace.gz,lru,0,2,False,9.379738,0.656123,4322141,367728
mcf_46B.trace.gz,lru,1,2,False,69.04810558571137,0.0973334,33854698,669355
bfs.trace.gz,lru,0,2,False,11.610006,0.343572,5753656,51347
xalancbmk_99B.trace.gz,lru,1,2,False,27.947945888208217,0.244619,13933347,40626
sphinx3_2520B.trace.gz,lru,0,2,False,3.409233986363064,1.02535,1582480,122137
pr.trace.gz,lru,1,2,False,13.407107973185784,0.240715,6615688,87866
astar_313B.trace.gz,lru,0,2,False,42.10193391579613,0.117643,11148050,9902917
cc.trace.gz,lru,1,2,False,6.216323962702056,0.426012,3106792,1370
bfs.trace.gz,lru,0,2,False,12.723183923660896,0.30808,6292797,68795
soplex_66B.trace.gz,lru,1,2,False,21.79061595641877,0.375857,8677741,2217567
soplex_66B.trace.gz,lru,0,2,False,22.840003954319993,0.347734,9164517,2255485
omnetpp_340B.trace.gz,lru,1,2,False,18.511647925953408,0.255078,7949652,1306172
cc.trace.gz,lru,0,2,False,6.268397987463204,0.421417,3132422,1777
mcf_46B.trace.gz,lru,1,2,False,66.32085160207488,0.100554,32553656,606770
omnetpp_340B.trace.gz,lru,0,2,True,17.20800989675194,0.275336,7366128,1237877
omnetpp_340B.trace.gz,lru,1,2,True,17.204731931181072,0.275337,7364394,1237972
bfs.trace.gz,lru,0,2,False,9.868804,0.332325,4889410,44992
astar_313B.trace.gz,lru,1,2,False,42.46572174520567,0.116951,11205849,10027012
bfs.trace.gz,lru,0,2,False,11.537033930777795,0.356673,5719231,49286
sphinx3_2520B.trace.gz,lru,1,2,False,5.396457989207084,0.85475,2510078,188151
cc.trace.gz,lru,0,2,True,5.988956,0.489339,2993617,861
cc.trace.gz,lru,1,2,True,5.983562,0.489455,2990935,846
astar_313B.trace.gz,lru,0,2,False,43.70461991259076,0.113664,11496338,10355972
mcf_46B.trace.gz,lru,1,2,False,67.44325373022698,0.0941308,33089429,632198
astar_313B.trace.gz,lru,0,4,False,43.03492591393015,0.106826,11405258,10112205
cc.trace.gz,lru,1,4,False,6.45507,0.335333,3226115,1420
astar_313B.trace.gz,lru,2,4,False,43.02663191394674,0.106829,11428463,10084853
astar_313B.trace.gz,lru,3,4,False,43.01851774188889,0.10683,11424035,10085224
astar_313B.trace.gz,lru,0,2,False,42.492008,0.116869,11234332,10011672
pr.trace.gz,lru,1,2,False,12.97807997404384,0.230867,6435454,53586
sphinx3_2520B.trace.gz,lru,0,2,False,9.37475994375144,0.674462,4338566,348814
xalancbmk_99B.trace.gz,lru,1,2,False,29.358415882566337,0.237907,14634014,45194
mcf_46B.trace.gz,lru,0,4,False,66.7224558665551,0.0937923,32749204,612024
bfs.trace.gz,lru,1,4,False,11.569433976861133,0.290533,5739139,45578
mcf_46B.trace.gz,lru,2,4,False,66.78230959930615,0.0937926,32779530,611625
cc.trace.gz,lru,3,4,False,6.3428499619429,0.370337,3169227,2198
omnetpp_340B.trace.gz,lru,0,4,False,17.257285930970856,0.254115,7386253,1242390
bfs.trace.gz,lru,1,4,False,11.917711952329153,0.263687,5909912,48944
omnetpp_340B.trace.gz,lru,2,4,False,17.255301930978792,0.254115,7385372,1242279
mcf_46B.trace.gz,lru,3,4,False,66.48686,0.0921696,32631899,611531
pr.trace.gz,lru,0,2,True,12.610498,0.232372,6258562,46687
pr.trace.gz,lru,1,2,True,12.6168999747662,0.231658,6248248,60202
xalancbmk_99B.trace.gz,lru,0,4,False,28.825802,0.178222,14369856,43045
omnetpp_340B.trace.gz,lru,1,4,False,17.494156,0.249665,7496733,1250345
sphinx3_2520B.trace.gz,lru,2,4,False,4.2737059829051764,0.774554,1971972,164881
astar_313B.trace.gz,lru,3,4,False,42.40411974557528,0.113744,11155935,10046125
bfs.trace.gz,lru,0,4,False,11.518146,0.273576,5712987,46086
omnetpp_340B.trace.gz,lru,1,4,False,16.938437966123125,0.259163,7246794,1222425
mcf_46B.trace.gz,lru,2,4,False,65.885296,0.0944531,32345934,596714
pr.trace.gz,lru,3,4,False,13.027373973945252,0.221352,6449686,64001
soplex_66B.trace.gz,lru,0,4,False,24.197098,0.280375,9797936,2300613
mcf_46B.trace.gz,lru,1,4,False,69.7100335817398,0.0825059,34169269,685748
soplex_66B.trace.gz,lru,2,4,False,24.18861595162277,0.280329,9805253,2289055
sphinx3_2520B.trace.gz,lru,3,4,False,11.663344,0.436275,5365586,466086
astar_313B.trace.gz,lru,0,4,False,43.027928,0.10697,11430259,10083705
astar_313B.trace.gz,lru,1,4,False,43.02447,0.10697,11436058,10076177
cc.trace.gz,lru,2,4,False,6.467352,0.338891,3232071,1605
astar_313B.trace.gz,lru,3,4,False,43.02762574183424,0.106967,11392792,10121021
xalancbmk_99B.trace.gz,lru,0,4,False,29.591433881634266,0.173978,14749414,46303
soplex_66B.trace.gz,lru,1,4,False,22.555429954889142,0.311902,9052422,2225293
pr.trace.gz,lru,2,4,False,13.952761972094477,0.209631,6882029,94352
soplex_66B.trace.gz,lru,3,4,False,22.572072,0.311881,9056454,2229582
bfs.trace.gz,lru,0,4,False,10.063812,0.306699,4989587,42319
pr.trace.gz,lru,1,4,False,12.783127974433745,0.222737,6330542,61022
astar_313B.trace.gz,lru,2,4,False,40.26312991947374,0.119458,10707560,9424005
pr.trace.gz,lru,3,4,False,12.789026,0.226871,6336228,58285
pr.trace.gz,lru,0,4,False,13.486195973027609,0.220405,6664565,78533
sphinx3_2520B.trace.gz,lru,1,4,False,4.672176,0.815509,2165001,171087
soplex_66B.trace.gz,lru,2,4,False,20.760305875438164,0.358853,8249544,2130609
cc.trace.gz,lru,3,4,False,6.46968997412124,0.378435,3232681,2164
sphinx3_2520B.trace.gz,lru,0,4,False,5.950517988098964,0.644149,2746786,228473
omnetpp_340B.trace.gz,lru,1,4,False,17.673711893957726,0.238495,7574665,1262191
mcf_46B.trace.gz,lru,2,4,False,67.5549495946703,0.087385,33139558,637917
astar_313B.trace.gz,lru,3,4,False,42.72272591455455,0.110461,11232306,10129057
xalancbmk_99B.trace.gz,lru,0,2,False,29.344211882623153,0.237112,14627164,44942
sphinx3_2520B.trace.gz,lru,1,2,False,9.382456,0.670224,4336287,354941
sphinx3_2520B.trace.gz,lru,0,4,False,2.1189819872861078,1.07163,996256,63235
bfs.trace.gz,lru,1,4,False,11.300054,0.320938,5599596,50431
xalancbmk_99B.trace.gz,lru,2,4,False,27.620241889519033,0.228916,13769636,40485
cc.trace.gz,lru,3,4,False,6.390051987219896,0.410276,3193374,1652
sphinx3_2520B.trace.gz,lru,0,4,False,5.892361988215276,0.705229,2751316,194865
sphinx3_2520B.trace.gz,lru,1,4,False,6.077516,0.694283,2845223,193535
omnetpp_340B.trace.gz,lru,2,4,False,17.439795930240816,0.262063,7474475,1245423
bfs.trace.gz,lru,3,4,False,11.880636,0.28209,5892426,47892
pr.trace.gz,lru,0,4,False,13.023083973953833,0.223533,6444241,67301
cc.trace.gz,lru,1,4,False,6.303921987392156,0.363285,3150183,1778
mcf_46B.trace.gz,lru,2,4,False,65.56081160663513,0.0958053,32191307,589099
omnetpp_340B.trace.gz,lru,3,4,False,16.798716,0.263453,7185192,1214166
bfs.trace.gz,lru,0,4,False,11.584584,0.324211,5736026,56266
sphinx3_2520B.trace.gz,lru,1,4,False,5.34173,0.779938,2472806,198059
bfs.trace.gz,lru,2,4,False,11.591995930448023,0.32422,5743728,52270
sphinx3_2520B.trace.gz,lru,3,4,False,4.98512997008922,0.80614,2311588,180977
astar_313B.trace.gz,lru,0,4,False,41.836095832655616,0.115306,11089226,9828822
cc.trace.gz,lru,1,4,False,6.26628,0.374681,3132102,1038
astar_313B.trace.gz,lru,2,4,False,41.841017916317966,0.115306,11089638,9830871
cc.trace.gz,lru,3,4,False,6.250968,0.372782,3124922,562
sphinx3_2520B.trace.gz,lru,0,4,False,7.542854,0.605717,3477461,293966
omnetpp_340B.trace.gz,lru,1,4,False,17.851467964297065,0.247769,7653481,1272253
soplex_66B.trace.gz,lru,2,4,False,21.715986,0.320972,8661616,2196377
pr.trace.gz,lru,3,4,False,13.465287973069424,0.215147,6653759,78885
soplex_66B.trace.gz,lru,0,4,False,22.24321595551357,0.293662,8923544,2198064
omnetpp_340B.trace.gz,lru,1,4,False,17.996537964006926,0.232537,7722551,1275718
sphinx3_2520B.trace.gz,lru,2,4,False,8.03111,0.540797,3718230,297325
astar_313B.trace.gz,lru,3,4,False,42.91010391417979,0.108523,11293252,10161800
cc.trace.gz,lru,0,4,False,6.345786,0.370194,3171163,1730
bfs.trace.gz,lru,1,4,False,11.58620993048274,0.290774,5747265,45840
mcf_46B.trace.gz,lru,2,4,False,66.67198959996806,0.093816,32726164,609831
mcf_46B.trace.gz,lru,3,4,False,66.68786959987278,0.0938162,32733032,610903
bfs.trace.gz,lru,0,4,False,9.879504,0.358806,4901074,38678
sphinx3_2520B.trace.gz,lru,1,4,False,0.710367995737792,1.36131,318437,36747
pr.trace.gz,lru,2,4,False,12.991071974017856,0.236844,6430038,65498
cc.trace.gz,lru,3,4,False,6.1944319752222725,0.436755,3095772,1444
mcf_46B.trace.gz,lru,0,2,False,66.76043159943741,0.0997652,32764305,615911
pr.trace.gz,lru,1,2,False,13.157763973684473,0.228049,6506536,72346
soplex_66B.trace.gz,lru,0,4,False,23.277108,0.288113,9383745,2254809
soplex_66B.trace.gz,lru,1,4,False,23.252763906988946,0.288062,9375648,2250734
bfs.trace.gz,lru,2,4,False,13.20781997358436,0.23403,6517993,85917
mcf_46B.trace.gz,lru,3,4,False,69.21066158473603,0.0833798,33933311,672020
bfs.trace.gz,lru,0,4,False,12.691721974616556,0.254478,6276340,69521
sphinx3_2520B.trace.gz,lru,1,4,False,7.579513984840972,0.59442,3497320,292437
soplex_66B.trace.gz,lru,2,4,False,21.414287871514272,0.319114,8525207,2181937
omnetpp_340B.trace.gz,lru,3,4,False,17.77818792888725,0.24653,7619707,1269387
sphinx3_2520B.trace.gz,lru,0,4,False,10.973566,0.497516,5053875,432908
sphinx3_2520B.trace.gz,lru,1,4,False,10.943674,0.498189,5043716,428121
xalancbmk_99B.trace.gz,lru,2,4,False,29.646705881413176,0.179103,14778088,45265
soplex_66B.trace.gz,lru,3,4,False,22.379091955241815,0.32038,8952406,2237140
cc.trace.gz,lru,0,4,False,6.140196,0.411347,3069319,779
cc.trace.gz,lru,1,4,False,6.113337987773324,0.411393,3055457,1212
pr.trace.gz,lru,2,4,False,12.685015974629968,0.232377,6293621,48887
astar_313B.trace.gz,lru,3,4,False,39.461162,0.121195,10531167,9199414
cc.trace.gz,lru,0,4,False,6.274576,0.421413,3136207,1081
cc.trace.gz,lru,1,4,False,6.245998,0.424236,3121661,1338
sphinx3_2520B.trace.gz,lru,2,4,False,3.453957979276252,0.987829,1576948,150031
sphinx3_2520B.trace.gz,lru,3,4,False,3.52836,0.982308,1623715,140465
pr.trace.gz,lru,0,4,False,13.426385973147228,0.221942,6635435,77758
mcf_46B.trace.gz,lru,1,4,False,67.55103186489794,0.0951175,33138666,636850
sphinx3_2520B.trace.gz,lru,2,4,False,5.03436996979378,0.774255,2344238,172947
xalancbmk_99B.trace.gz,lru,3,4,False,28.899666,0.195977,14405576,44257
xalancbmk_99B.trace.gz,lru,0,4,False,29.246112,0.172617,14578863,44193
astar_313B.trace.gz,lru,1,4,False,42.58867991482264,0.11213,11203858,10090482
mcf_46B.trace.gz,lru,2,4,False,67.232999731068,0.0898734,32986353,630147
xalancbmk_99B.trace.gz,lru,3,4,False,29.256438,0.172655,14583573,44646
cc.trace.gz,lru,0,4,False,6.366142,0.366911,3181448,1623
omnetpp_340B.trace.gz,lru,1,4,False,16.999355932002576,0.261194,7276742,1222936
soplex_66B.trace.gz,lru,2,4,False,20.008272,0.346129,7940388,2063748
cc.trace.gz,lru,3,4,False,6.36665998726668,0.367215,3181516,1814
cc.trace.gz,lru,0,4,False,6.442443974230224,0.386974,3219488,1734
sphinx3_2520B.trace.gz,lru,1,4,False,4.365563991268872,0.852368,2021562,161220
soplex_66B.trace.gz,lru,2,4,False,20.51085791795657,0.366278,8139064,2116365
cc.trace.gz,lru,3,4,False,6.462798,0.387178,3229271,2128
omnetpp_340B.trace.gz,lru,0,4,False,17.786493928854025,0.241027,7622689,1270558
mcf_46B.trace.gz,lru,1,4,False,67.65436572938253,0.0883262,33186250,640933
soplex_66B.trace.gz,lru,2,4,False,21.581365956837267,0.311036,8588289,2202394
cc.trace.gz,lru,3,4,False,6.592703986814592,0.333391,3294574,1778
pr.trace.gz,lru,0,4,False,13.398021973203956,0.218948,6622254,76757
soplex_66B.trace.gz,lru,1,4,False,21.089488,0.32498,8383429,2161315
omnetpp_340B.trace.gz,lru,2,4,False,17.617682,0.250189,7548658,1260183
omnetpp_340B.trace.gz,lru,3,4,False,17.621383964757232,0.25019,7550842,1259850
astar_313B.trace.gz,lru,0,4,False,42.612585914774826,0.110697,11224219,10082074
mcf_46B.trace.gz,lru,1,4,False,67.415544,0.0878194,33080216,627556
mcf_46B.trace.gz,lru,2,4,False,67.39596759562419,0.0878195,33070073,627911
pr.trace.gz,lru,3,4,False,13.256919973486161,0.209277,6552190,76270
mcf_46B.trace.gz,lru,0,4,False,68.5931495884411,0.0906561,33643109,653466
mcf_46B.trace.gz,lru,1,4,False,68.60725772557097,0.0906563,33648900,654729
xalancbmk_99B.trace.gz,lru,2,4,False,29.6629498813482,0.182722,14784454,47021
sphinx3_2520B.trace.gz,lru,3,4,False,8.87576996449692,0.577197,4091391,346494
sphinx3_2520B.trace.gz,lru,0,4,False,3.617835992764328,0.843998,1669854,139064
cc.trace.gz,lru,1,4,False,6.5292019869415965,0.352899,3262471,2130
astar_313B.trace.gz,lru,2,4,False,42.36353791527293,0.114019,11153034,10028735
mcf_46B.trace.gz,lru,3,4,False,66.72799773308802,0.0920874,32744464,619535
omnetpp_340B.trace.gz,lru,0,4,False,16.999106,0.242314,7279967,1219586
astar_313B.trace.gz,lru,1,4,False,43.021276,0.11041,11333877,10176761
astar_313B.trace.gz,lru,2,4,False,43.003991741976044,0.110411,11330115,10171881
xalancbmk_99B.trace.gz,lru,3,4,False,28.2890499434219,0.170068,14102185,42340
omnetpp_340B.trace.gz,lru,0,4,False,17.7961759288153,0.241041,7626659,1271429
mcf_46B.trace.gz,lru,1,4,False,67.66913786466172,0.0883153,33192337,642232
cc.trace.gz,lru,2,4,False,6.598912,0.332743,3297779,1677
soplex_66B.trace.gz,lru,3,4,False,21.57953787052277,0.310904,8589746,2200023
pr.trace.gz,lru,0,4,False,12.844593974310813,0.233542,6364998,57299
bfs.trace.gz,lru,1,4,False,10.19291997961416,0.33471,5057336,39124
xalancbmk_99B.trace.gz,lru,2,4,False,26.29098994741802,0.236689,13107351,38144
cc.trace.gz,lru,3,4,False,6.196632,0.417111,3096841,1475
sphinx3_2520B.trace.gz,lru,0,4,False,6.107767987784464,0.635569,2828819,225065
astar_313B.trace.gz,lru,1,4,False,42.69534791460931,0.110497,11231636,10116038
omnetpp_340B.trace.gz,lru,2,4,False,17.670917964658166,0.238535,7574264,1261195
mcf_46B.trace.gz,lru,3,4,False,67.6007518647985,0.0873173,33164024,636352
bfs.trace.gz,lru,0,4,False,10.72909,0.262402,5317165,47380
astar_313B.trace.gz,lru,1,4,False,42.559654,0.111888,11233712,10046115
omnetpp_340B.trace.gz,lru,2,4,False,16.479131967041738,0.248212,7060625,1178941
astar_313B.trace.gz,lru,3,4,False,42.56341774461949,0.111889,11234273,10047436
astar_313B.trace.gz,lru,0,4,False,42.0988497474069,0.116414,11073781,9975644
cc.trace.gz,lru,1,4,False,6.41605,0.379484,3206578,1447
sphinx3_2520B.trace.gz,lru,2,4,False,2.566008,0.984406,1181949,101055
xalancbmk_99B.trace.gz,lru,3,4,False,28.013663887945345,0.198187,13965792,41040
mcf_46B.trace.gz,lru,0,4,False,67.837476,0.0843348,33280076,638662
astar_313B.trace.gz,lru,1,4,False,42.80346974317918,0.107335,11264968,10136767
omnetpp_340B.trace.gz,lru,2,4,False,17.838635892968185,0.228516,7650051,1269267
mcf_46B.trace.gz,lru,3,4,False,67.86123972855505,0.084332,33291189,639431
pr.trace.gz,lru,0,4,False,12.913286,0.228036,6395642,61001
pr.trace.gz,lru,1,4,False,12.928061974143876,0.224633,6401870,62161
mcf_46B.trace.gz,lru,2,4,False,65.14856960910858,0.0984393,31993030,581255
bfs.trace.gz,lru,3,4,False,10.749908,0.30874,5333082,41872
xalancbmk_99B.trace.gz,lru,0,4,False,28.993314,0.191541,14453107,43550
sphinx3_2520B.trace.gz,lru,1,4,False,4.607484,0.792915,2139423,164319
